>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_LR883965.1 Escherichia coli isolate 2016-17-550 chromosome 1, complete sequence
>NZ_CP091427.1 Escherichia coli strain 1000C-3 chromosome, complete genome
>NZ_CP027461.1 Escherichia coli strain 95-3322 chromosome, complete genome
>NZ_CP047127.1 Escherichia coli K-12 chromosome, complete genome
>NZ_LR134239.1 Escherichia coli strain NCTC9100 chromosome 1, complete sequence
>NZ_OX030728.1 Escherichia coli isolate 68 chromosome main, complete sequence
>NZ_CP101925.1 Escherichia coli strain Seattle 1946 chromosome, complete genome
>NZ_CP024266.1 Escherichia coli O6:H16 strain F6699 chromosome, complete genome
>NZ_CP063479.1 Escherichia coli strain EM06-18-14 chromosome, complete genome
>NZ_AP025751.1 Escherichia sp. HH154_1D strain HH-P049 chromosome, complete genome
>NZ_CP038380.1 Escherichia coli O157:H7 strain E32511 chromosome, complete genome
>NZ_CP034166.1 Escherichia albertii strain 2014C-4015 chromosome, complete genome
>NZ_CP107137.1 Escherichia coli strain S5 chromosome, complete genome
>NZ_CP024131.1 Escherichia coli strain 14EC007 chromosome, complete genome
>NZ_CP128923.1 Escherichia coli strain TUM9868 chromosome, complete genome
>NZ_CP028750.1 Escherichia coli strain A25 chromosome, complete genome
>NZ_CP057093.1 Escherichia fergusonii strain RHB38-C07 chromosome, complete genome
>NZ_CP107126.1 Escherichia coli strain S8 chromosome, complete genome
>NZ_CP026853.1 Escherichia coli strain MS7163 chromosome, complete genome
>NZ_CP027310.1 Escherichia coli strain 2014C-4135 chromosome, complete genome
>NZ_CP066759.1 Escherichia coli O157:H7 strain ECP19-198 chromosome, complete genome
>NZ_CP015228.1 Escherichia coli strain 09-00049 chromosome, complete genome
>NZ_CP062895.1 Escherichia coli strain Res13-Lact-ER02-39 chromosome, complete genome
>NZ_CP025840.1 Escherichia coli strain 214-4 chromosome, complete genome
>NZ_CP117600.1 Escherichia albertii strain BIA_32 chromosome, complete genome
>NZ_CP122316.1 Escherichia coli strain HT-946 chromosome, complete genome
>NZ_CP087570.1 Escherichia coli strain 114 chromosome, complete genome
>NZ_CP073589.1 Escherichia coli strain MFDS1006657 chromosome, complete genome
>NZ_CP101305.1 Escherichia coli strain 2002-3211 chromosome, complete genome
>NZ_CP060946.1 Escherichia coli O157:H7 str. EC10 chromosome, complete genome
>NZ_CP010170.1 Escherichia coli strain H6 chromosome, complete genome
>NZ_CP049936.1 Escherichia coli strain JL05 chromosome, complete genome
>NZ_CP028614.1 Escherichia coli strain 141 chromosome, complete genome
>NZ_CP042867.1 Escherichia coli strain ATCC BAA-196 chromosome, complete genome
>NZ_CP010442.1 Escherichia coli K-12 strain K-12 MG1655 chromosome, complete genome
>NZ_LR778148.1 Escherichia coli isolate SC475 chromosome 1
>NZ_CP028379.1 Escherichia coli O145 str. RM9872 chromosome, complete genome
>NZ_CP082103.1 Escherichia coli strain MS15046 chromosome, complete genome
>NZ_CP070930.1 Escherichia coli strain 30COLEC chromosome, complete genome
>NZ_CP063046.1 Escherichia coli strain KC-Dl-1 chromosome, complete genome
>NZ_CP117595.1 Escherichia albertii strain BIA_35 chromosome, complete genome
>NZ_CP013663.1 Escherichia coli strain GB089 chromosome, complete genome
>NZ_CP080070.1 Escherichia coli strain 19SZHZ713Rt chromosome, complete genome
>NZ_CP113486.1 Escherichia coli strain GTEN_23 chromosome, complete genome
>NZ_CP018243.1 Escherichia coli strain 350 chromosome, complete genome
>NZ_CP117583.1 Escherichia albertii strain BIA_41 chromosome, complete genome
>NZ_CP027579.1 Escherichia coli strain 2013C-4282 chromosome, complete genome
>NZ_CP118014.1 Escherichia coli strain B-766 chromosome, complete genome
>NZ_CP062700.1 Escherichia coli O157:H7 strain Z1835 chromosome, complete genome
>NZ_AP025675.1 Escherichia coli strain Rb-3 chromosome, complete genome
>NZ_CP054214.1 Escherichia coli strain EcPF40 chromosome, complete genome
>NZ_CP117586.1 Escherichia albertii strain BIA_40 chromosome, complete genome
>NZ_CP069522.1 Escherichia coli strain FDAARGOS_1267 chromosome, complete genome
>NZ_CP107151.1 Escherichia coli strain R13 chromosome, complete genome
>NZ_CP091700.1 Escherichia coli strain KFu019 chromosome, complete genome
>NZ_CP010206.1 Escherichia coli strain M11 chromosome, complete genome
>NZ_CP083497.1 Escherichia coli strain elppa6 chromosome, complete genome
>NZ_CP068814.1 Escherichia coli strain RIVM_C028613 chromosome, complete genome
>NZ_CP091665.1 Escherichia coli strain KOr019 chromosome, complete genome
>NZ_CP023061.1 Escherichia coli strain FORC_069 chromosome, complete genome
>NZ_CP026360.1 Escherichia coli strain 1FA chromosome, complete genome
>NZ_CP054227.1 Escherichia coli strain EcPF15 chromosome, complete genome
>NC_008563.1 Escherichia coli APEC O1, complete sequence
>NZ_CP057505.1 Escherichia fergusonii strain RHB24-C06 chromosome, complete genome
>NZ_CP132728.1 Escherichia coli strain LZSFT34 chromosome, complete genome
>NZ_CP033635.1 Escherichia coli isolate ECCNB12-2 chromosome, complete genome
>NZ_CP028768.1 Escherichia coli strain A6 chromosome, complete genome
>NZ_CP141787.1 Escherichia coli strain K194T1-1018 chromosome, complete genome
>NZ_CP080155.1 Escherichia coli strain PK8261 chromosome, complete genome
>NZ_CP083410.1 Escherichia coli strain RP437 chromosome, complete genome
>NZ_LR134079.1 Escherichia coli strain NCTC9112 chromosome 1, complete sequence
>NZ_CP049085.2 Escherichia coli strain p4A chromosome, complete genome
>NZ_CP099890.1 Escherichia albertii strain 205_2_TBG_B chromosome, complete genome
>NZ_CP115312.1 Escherichia coli strain CUVET18-789 chromosome, complete genome
>NZ_CP107001.1 Escherichia coli strain SY22B5 chromosome, complete genome
>NZ_CP011343.2 Escherichia coli K-12 substr. GM4792 chromosome, complete genome
>NZ_CP121356.1 Escherichia coli strain rl0044 chromosome, complete genome
>NZ_CP089036.1 Escherichia coli O157:H7 strain 7386WT chromosome, complete genome
>NZ_CP023853.1 Escherichia coli strain 2/0 chromosome, complete genome
>NZ_CP117562.1 Escherichia albertii strain BIA_7 chromosome, complete genome
>NZ_OX637959.1 Escherichia coli O25b:H4-ST131 isolate 32 chromosome C, complete sequence
>NZ_CP035477.1 Escherichia coli strain U13A chromosome, complete genome
>NZ_LR134315.1 Escherichia coli strain NCTC9064 chromosome 1, complete sequence
>NZ_CP021879.1 Escherichia coli strain AR_0137 chromosome, complete genome
>NZ_LR130532.1 Escherichia coli isolate ecoli019 chromosome 0
>NZ_CP122517.1 Escherichia coli strain MY1-8 chromosome, complete genome
>NZ_CP076654.1 Escherichia coli strain NC19 chromosome, complete genome
>NZ_CP053723.1 Escherichia coli strain CP66-6_Sichuan chromosome, complete genome
>NZ_CP075480.1 Escherichia coli strain NT1N31 chromosome, complete genome
>NZ_CP136025.1 Escherichia coli strain GDSC2BY4G chromosome, complete genome
>NZ_CP053601.1 Escherichia coli BL21 chromosome, complete genome
>NZ_CP006262.1 Escherichia coli O145:H28 str. RM13516 chromosome, complete genome
>NZ_CP031908.1 Escherichia coli O103:H2 strain FWSEC0007 chromosome, complete genome
>NZ_CP116169.1 Escherichia coli strain DETEC-P1056 chromosome, complete genome
>NZ_CP022730.1 Escherichia coli strain SA186 chromosome, complete genome
>NZ_CP081724.1 Escherichia coli strain CX07 chromosome, complete genome
>NZ_CP030939.1 Escherichia coli strain AMSHJX01 chromosome, complete genome
>NZ_CP028674.1 Escherichia coli strain 115 chromosome, complete genome
>NZ_CP014316.1 Escherichia coli JJ1887 chromosome, complete genome
>NZ_CP080253.1 Escherichia coli strain PC6 chromosome, complete genome
>NZ_CP032237.1 Escherichia coli strain ECCWS199 chromosome, complete genome
>NZ_CP048337.1 Escherichia coli strain 142 chromosome, complete genome
>NZ_CP085488.1 Escherichia coli strain VCSW8 chromosome, complete genome
>NZ_CP122318.1 Escherichia coli strain HT873X1 chromosome, complete genome
>NZ_CP107284.1 Escherichia coli strain SW4848 chromosome, complete genome
>NZ_CP070162.1 Escherichia coli strain FDAARGOS_1283 chromosome, complete genome
>NZ_CP075374.1 Escherichia coli strain no107 chromosome, complete genome
>NZ_CP115178.1 Escherichia coli strain B chromosome, complete genome
>NZ_CP025950.3 Escherichia coli strain SCEC020023 chromosome, complete genome
>NZ_AP022095.1 Escherichia coli strain WP4-S18-ESBL-08 chromosome, complete genome
>NZ_CP083492.1 Escherichia coli strain elppa8 chromosome, complete genome
>NC_018658.1 Escherichia coli O104:H4 str. 2011C-3493, complete sequence
>NZ_CP039837.1 Escherichia coli O55:H7 strain USDA5905 chromosome, complete genome
>NZ_CP034404.1 Escherichia coli strain CRE10 chromosome, complete genome
>NZ_CP069501.1 Escherichia coli strain FDAARGOS_1268 chromosome, complete genome
>NZ_CP132020.1 Escherichia coli strain JCH8249 chromosome, complete genome
>NZ_CP063499.1 Escherichia coli strain EH10-18-47 chromosome, complete genome
>NZ_AP018784.1 Escherichia coli strain SK1144 chromosome, complete genome
>NZ_CP096976.1 Escherichia coli strain 17-07187 chromosome, complete genome
>NZ_CP035751.1 Escherichia coli E110019 chromosome, complete genome
>NZ_CP035755.1 Escherichia coli E110019 extrachromosomal
>NZ_CP032265.1 Escherichia coli strain AR_0089 chromosome, complete genome
>NZ_CP019629.1 Escherichia coli strain MGY chromosome, complete genome
>NZ_CP041623.1 Escherichia coli O157:H7 strain ATCC 43888 chromosome, complete genome
>NZ_AP027971.1 Escherichia coli strain VE-V10-F chromosome, complete genome
>NZ_AP025682.1 Escherichia coli strain Rb-50 chromosome, complete genome
>NZ_CP018250.1 Escherichia coli strain 10671 chromosome, complete genome
>NZ_CP133124.1 Escherichia coli O157:H7 strain PNUSAE146742 chromosome, complete genome
>NZ_CP066839.1 Escherichia coli strain Ec-RL2-1X chromosome, complete genome
>NZ_CP018237.1 Escherichia coli strain 155 chromosome, complete genome
>NZ_AP022215.1 Escherichia coli strain WP8-S17-ESBL-05 chromosome, complete genome
>NZ_CP122652.1 Escherichia coli strain ETEC4075 chromosome, complete genome
>NZ_CP117570.1 Escherichia albertii strain BIA_50 chromosome, complete genome
>NZ_CP062729.1 Escherichia coli O157:H7 strain Z1811 chromosome, complete genome
>NZ_LR134227.1 Escherichia coli strain NCTC9102 chromosome 1, complete sequence
>NZ_CP029692.1 Escherichia coli strain SD134209 chromosome, complete genome
>NZ_CP026935.2 Escherichia coli strain CFS3292 chromosome, complete genome
>NZ_CP116405.1 Escherichia coli strain HH107 chromosome, complete genome
>NZ_LR134311.1 Escherichia coli strain NCTC9113 chromosome 1, complete sequence
>NZ_CP062752.1 Escherichia coli O157:H7 strain Z910 chromosome, complete genome
>NZ_CP057504.1 Escherichia fergusonii strain RHB24-C08 chromosome, complete genome
>NZ_CP062717.1 Escherichia coli O157:H7 strain Z1825 chromosome, complete genome
>NZ_CP050036.1 Escherichia coli strain 58-3 chromosome, complete genome
>NZ_CP091659.1 Escherichia coli strain KFu024 chromosome, complete genome
>NZ_CP047600.1 Escherichia coli O84:H7 strain Trh52 chromosome, complete genome
>NZ_CP103295.1 Escherichia coli strain 2e chromosome, complete genome
>NZ_CP117568.1 Escherichia albertii strain BIA_5-2 chromosome, complete genome
>NZ_CP082772.1 Escherichia coli O2:H1 strain HM670 chromosome, complete genome
>NZ_CP129383.1 Escherichia coli strain STEC434 chromosome, complete genome
>NZ_OX460316.1 Escherichia coli strain EC0026B isolate EC0026B_R4 chromosome 1, complete sequence
>NZ_CP122727.1 Escherichia coli strain ETEC1746 chromosome, complete genome
>NZ_CP053258.1 Escherichia coli strain GF4-3 chromosome, complete genome
>NZ_CP024826.1 Escherichia coli strain CREC-544 chromosome, complete genome
>NZ_CP083880.1 Escherichia coli strain NDM3 chromosome, complete genome
>NZ_CP028758.1 Escherichia coli strain A16 chromosome, complete genome
>NZ_CP116925.1 Escherichia coli strain MLI104K2 chromosome, complete genome
>NZ_CP124517.1 Escherichia coli strain AVS0343 chromosome, complete genome
>NZ_CP122648.1 Escherichia coli strain ETEC4077 chromosome, complete genome
>NZ_CP045741.1 Escherichia coli strain DH5alpha chromosome, complete genome
>NZ_AP027188.1 Escherichia coli strain PV0838 chromosome, complete genome
>NZ_CP116136.1 Escherichia coli strain DETEC-P649 chromosome, complete genome
>NZ_CP011061.1 Escherichia coli str. Sanji chromosome, complete genome
>NZ_CP122448.1 Escherichia coli strain 85.0412 chromosome, complete genome
>NZ_CP070914.1 Escherichia coli strain 65COLEC chromosome, complete genome
>NZ_CP103645.1 Escherichia coli strain 961 chromosome, complete genome
>NZ_CP015229.1 Escherichia coli strain 06-00048 chromosome, complete genome
>NZ_CP046009.1 Escherichia coli strain 1919D62 chromosome, complete genome
>NZ_CP027387.1 Escherichia coli strain 2014C-3057 chromosome, complete genome
>NZ_CP110014.1 Escherichia coli strain HE_100-10 chromosome, complete genome
>NZ_CP099895.1 Escherichia albertii strain 153_2_TBG_A chromosome, complete genome
>NZ_CP019558.1 Escherichia coli strain KSC207 chromosome, complete genome
>NZ_CP040263.1 Escherichia coli strain 631 chromosome, complete genome
>NZ_CP028659.1 Escherichia coli strain 120 chromosome, complete genome
>NZ_AP022525.1 Escherichia coli strain THO-003 chromosome, complete genome
>NZ_CP020107.1 Escherichia coli strain 13E0767 chromosome, complete genome
>NZ_CP049343.1 Escherichia coli strain UMB200201_11 chromosome, complete genome
>NZ_CP124322.1 Escherichia coli strain AVS0717 chromosome, complete genome
>NZ_CP010221.1 Escherichia coli strain M19 chromosome, complete genome
>NZ_CP059288.1 Escherichia coli strain 1506 chromosome, complete genome
>NZ_CP070045.1 Escherichia coli strain FDAARGOS_1303 chromosome, complete genome
>NZ_AP027165.1 Escherichia coli strain H19 chromosome, complete genome
>NZ_CP028685.1 Escherichia coli strain 111 chromosome, complete genome
>NZ_CP068804.1 Escherichia coli strain RIVM_C018563 chromosome, complete genome
>NZ_CP040269.1 Escherichia coli strain 1500 chromosome, complete genome
>NZ_CP071521.1 Escherichia coli strain 11202 chromosome, complete genome
>NZ_CP060902.1 Escherichia coli strain EC20 chromosome, complete genome
>NZ_CP051719.1 Escherichia coli strain SCU-116 chromosome, complete genome
>NZ_CP052877.1 Escherichia coli strain C21 chromosome, complete genome
>NZ_AP022177.1 Escherichia coli strain WP7-S17-ESBL-04 chromosome, complete genome
>NZ_CP081881.1 Escherichia coli strain WW2 chromosome, complete genome
>NZ_CP128919.1 Escherichia coli strain TUM13066 chromosome, complete genome
>NZ_CP081489.1 Escherichia coli BL21(DE3) chromosome, complete genome
>NZ_CP128790.1 Escherichia coli strain WL7562 chromosome, complete genome
>NZ_CP030767.1 Escherichia coli strain 2017C-4109 chromosome, complete genome
>NZ_CP017442.1 Escherichia coli O157:H7 strain 4276 chromosome, complete genome
>NZ_CP135077.1 Escherichia coli strain 19213 chromosome, complete genome
>NZ_CP042298.1 Escherichia coli strain RM9088 chromosome, complete genome
>NZ_CP080247.1 Escherichia sp. TM-G17TGC chromosome, complete genome
>NZ_CP109874.1 Escherichia coli strain EC488 chromosome, complete genome
>NZ_AP022482.1 Escherichia coli strain STN0717-20 chromosome, complete genome
>NZ_CP091024.1 Escherichia coli strain STEC379 chromosome, complete genome
>NZ_CP062243.1 Escherichia coli strain AML003_ev03 chromosome, complete genome
>NZ_LR881938.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome MG1655, complete sequence
>NZ_LR025101.1 Escherichia coli isolate EC-1639 chromosome 1, complete sequence
>NZ_CP010585.1 Escherichia coli strain C41(DE3) chromosome, complete genome
>NZ_CP073624.1 Escherichia coli strain AW1.7 chromosome, complete genome
>NZ_CP048322.1 Escherichia coli strain 64 chromosome, complete genome
>NZ_CP019051.1 Escherichia coli strain CRE1540 chromosome, complete genome
>NZ_OU701452.1 Escherichia coli isolate CNR65D6 chromosome 1, complete sequence
>NZ_CP116115.1 Escherichia coli strain DETEC-P793 chromosome, complete genome
>NZ_CP033401.1 Escherichia coli strain WCHEC020031 chromosome, complete genome
>NZ_CP017251.1 Escherichia coli strain NADC 5570/86-24/6564 isolate wild type chromosome, complete genome
>NZ_CP135664.1 Escherichia coli strain TUM9975 chromosome, complete genome
>NZ_LR890349.1 Escherichia coli strain MSB1_9D isolate MSB1_9D chromosome 1, complete sequence
>NZ_CP010172.1 Escherichia coli strain H8 chromosome, complete genome
>NZ_CP106999.1 Escherichia coli strain SY22A4 chromosome, complete genome
>NZ_CP028702.1 Escherichia coli strain J53 chromosome, complete genome
>NZ_AP026114.1 Escherichia coli strain CEC01302 chromosome, complete genome
>NZ_CP116152.1 Escherichia coli strain DETEC-P61 chromosome, complete genome
>NZ_CP025251.1 Escherichia coli strain BH100 substr. MG2017 chromosome, complete genome
>NZ_CP072566.1 Escherichia coli strain WG5::TT12A chromosome, complete genome
>NZ_CP122588.1 Escherichia coli strain ETEC6335 chromosome, complete genome
>NZ_CP026355.1 Escherichia coli strain 3A chromosome, complete genome
>NZ_CP117590.1 Escherichia albertii strain BIA_36 chromosome, complete genome
>NZ_CP065607.1 Escherichia coli strain FDAARGOS_946 chromosome, complete genome
>NZ_CP026353.1 Escherichia coli strain 4A chromosome, complete genome
>NZ_CP069957.1 Escherichia coli strain FDAARGOS_1279 chromosome, complete genome
>NZ_CP127493.1 Escherichia coli strain PS00260.4 chromosome, complete genome
>NZ_LR134152.1 Escherichia coli strain NCTC9104 chromosome 1, complete sequence
>NZ_CP014268.2 Escherichia coli B strain C2566 chromosome, complete genome
>NZ_CP070152.1 Escherichia coli strain FDAARGOS_1285 chromosome, complete genome
>NZ_CP023834.1 Escherichia coli strain 4/2-1 chromosome, complete genome
>NZ_CP014269.1 Escherichia coli B strain C3029 chromosome, complete genome
>NZ_CP082773.1 Escherichia coli O99:H6 strain CU42ET-1 chromosome, complete genome
>NZ_LR134247.1 Escherichia coli strain NCTC9040 chromosome 1, complete sequence
>NZ_CP057896.1 Escherichia fergusonii strain RHB10-C23 chromosome, complete genome
>NZ_CP038421.1 Escherichia coli O157:H7 strain 7636 chromosome, complete genome
>NC_011601.1 Escherichia coli O127:H6 str. E2348/69, complete sequence
>NZ_CP058748.1 Escherichia coli strain STLIN_13 chromosome, complete genome
>NZ_CP071263.1 Escherichia coli strain MEI003 chromosome, complete genome
>NZ_CP029973.1 Escherichia coli strain 51008369SK1 chromosome, complete genome
>NZ_AKBV01000001.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, whole genome shotgun sequence
>NZ_CP020545.1 Escherichia coli strain ZJ3920 chromosome, complete genome
>NZ_CP126944.1 Escherichia coli O1:K1:H7 strain APEC E16002 chromosome, complete genome
>NZ_CP068801.1 Escherichia coli strain RIVM_C018220 chromosome, complete genome
>NZ_CP123255.1 Escherichia coli strain YZMc17-1 chromosome, complete genome
>NZ_CP086627.1 Escherichia coli strain RIVM_C036569 chromosome, complete genome
>NZ_CP101197.1 Escherichia coli strain EC21Z-151 chromosome, complete genome
>NZ_CP081742.1 Escherichia coli strain CX15 chromosome, complete genome
>NZ_CP100530.1 Escherichia coli strain LH10-b-1 chromosome, complete genome
>NZ_CP082097.1 Escherichia coli strain MS15052 chromosome, complete genome
>NZ_LR882997.1 Escherichia coli isolate L3_E36_ETEC chromosome 1, complete sequence
>NZ_CP020495.1 Escherichia coli strain 103 chromosome, complete genome
>NZ_CP095510.1 Escherichia coli strain GN02270 chromosome, complete genome
>NZ_CP129259.1 Escherichia coli strain STEC1587 chromosome, complete genome
>NZ_CP021207.1 Escherichia coli strain strain Z247 chromosome, complete genome
>NZ_CP091756.1 Escherichia coli strain LC-1302-2020 chromosome, complete genome
>NZ_CP080116.1 Escherichia coli strain Dog168 chromosome, complete genome
>NZ_CP083478.1 Escherichia coli strain elppa10 chromosome, complete genome
>NZ_CP092500.1 Escherichia coli strain A30 chromosome, complete genome
>NZ_CP092449.1 Escherichia coli isolate TKEC21-17 chromosome, complete genome
>NZ_CP031215.1 Escherichia coli strain Es_ST80_L1_NDM_10_2017 chromosome, complete genome
>NZ_CP026929.2 Escherichia coli strain CFS3246 chromosome, complete genome
>NZ_CP088131.1 Escherichia coli strain 81 chromosome, complete genome
>NZ_CP051615.1 Escherichia coli O25b:H4-ST131 strain 2017_APHA chromosome, complete genome
>NZ_CP057229.1 Escherichia fergusonii strain RHB32-C16 chromosome, complete genome
>NZ_CP134358.1 Escherichia coli strain TUM13936 chromosome, complete genome
>NZ_CP106994.1 Escherichia coli strain SY22A6 chromosome, complete genome
>NZ_CP027548.1 Escherichia coli strain 2014C-3061 chromosome, complete genome
>NZ_CP128958.1 Escherichia coli strain TUM2330 chromosome, complete genome
>NZ_CP011915.1 Escherichia coli strain PSUO2 chromosome, complete genome
>NZ_CP042845.1 Escherichia coli strain JME65 chromosome, complete genome
>NZ_CP022664.1 Escherichia coli strain FORC 064 chromosome, complete genome
>NZ_CP040397.1 Escherichia coli strain BA22372 chromosome, complete genome
>NZ_CP084205.1 Escherichia coli strain EC2648-R1 chromosome, complete genome
>NZ_CP124420.1 Escherichia coli strain AVS0155 chromosome, complete genome
>NZ_CP097367.1 Escherichia coli strain AGR6128 chromosome, complete genome
>NZ_CP010152.1 Escherichia coli strain D9 chromosome, complete genome
>NZ_CP104384.1 Escherichia coli strain JNQH498 chromosome, complete genome
>NZ_CP049198.1 Escherichia coli strain E686 chromosome, complete genome
>NZ_CP026932.2 Escherichia coli strain CFS3273 chromosome, complete genome
>NZ_CP024090.1 Escherichia coli strain WG5 chromosome, complete genome
>NZ_CP122317.1 Escherichia coli strain HT-948 chromosome, complete genome
>NZ_CP124347.1 Escherichia coli strain AVS0283 chromosome, complete genome
>NZ_CP035819.1 Escherichia coli strain WS3294A chromosome, complete genome
>NZ_LR883000.1 Escherichia coli isolate L6_E562_ETEC chromosome 1, complete sequence
>NZ_CP124341.1 Escherichia coli strain AVS0710 chromosome, complete genome
>NZ_CP050382.1 Escherichia coli strain 52148 chromosome, complete genome
>NZ_CP069882.1 Escherichia coli strain FDAARGOS_1289 chromosome, complete genome
>NZ_CP134353.1 Escherichia coli strain TUM17668 chromosome, complete genome
>NZ_CP099358.1 Escherichia fergusonii strain RHB02-E1-C03 chromosome, complete genome
>NZ_CP063332.1 Escherichia coli strain BS74R-D chromosome, complete genome
>NZ_CP027351.1 Escherichia coli strain 2014C-3655 chromosome, complete genome
>NZ_CP062239.1 Escherichia coli strain AML001_ev03 chromosome, complete genome
>NZ_CP073994.1 Escherichia coli strain MB1 chromosome, complete genome
>NZ_CP009859.1 Escherichia coli strain ECONIH1 chromosome, complete genome
>NZ_CP042969.1 Escherichia coli strain CFSAN061769 chromosome, complete genome
>NC_013353.1 Escherichia coli O103:H2 str. 12009, complete sequence
>NZ_CP045863.1 Escherichia coli O157:H7 strain ATCC 43890 chromosome, complete genome
>NZ_CP067241.1 Escherichia coli strain P19_598 chromosome, complete genome
>NZ_CP031653.1 Escherichia coli strain UK_Dog_Liverpool chromosome, complete genome
>NZ_CP085069.1 Escherichia coli strain P27_L1_05.20 chromosome, complete genome
>NZ_CP028744.1 Escherichia coli strain A31 chromosome, complete genome
>NZ_LT838196.1 Escherichia coli isolate WI1 isolate chromosome WI1, complete sequence
>NZ_CP025520.1 Escherichia coli strain DH5alpha chromosome, complete genome
>NZ_AP024112.1 Escherichia coli strain ECSC054 chromosome, complete genome
>NZ_CP009050.1 Escherichia coli NCCP15648 chromosome, complete genome
>NZ_CP119746.1 Escherichia coli strain E15 chromosome, complete genome
>NZ_CP019355.1 Escherichia coli strain XH988 chromosome, complete genome
>NZ_AP024126.1 Escherichia coli strain NS-NP030 chromosome, complete genome
>NZ_CP117959.1 Escherichia coli strain B-2207 chromosome, complete genome
>NZ_CP138412.1 Escherichia coli strain 50EVA chromosome, complete genome
>NC_017906.1 Escherichia coli Xuzhou21, complete sequence
>NZ_CP040067.1 Escherichia coli strain A1_181 chromosome, complete genome
>NZ_CP051725.1 Escherichia coli strain SCU-112 chromosome, complete genome
>NZ_CP010371.1 Escherichia coli strain 6409 chromosome, complete genome
>NZ_CP030768.1 Escherichia coli strain 2017C-4173W12 chromosome, complete genome
>NZ_CP071522.1 Escherichia coli strain UPEC129 chromosome, complete genome
>NZ_CP075716.1 Escherichia coli strain CPww7 chromosome, complete genome
>NZ_CP079735.1 Escherichia coli strain GB2005 chromosome, complete genome
>NZ_CP024479.1 Escherichia coli strain 2011C-4315 chromosome, complete genome
>NZ_CP103609.1 Escherichia coli strain 4314 chromosome, complete genome
>NZ_CP032803.1 Escherichia coli strain ERL05-1306 chromosome, complete genome
>NZ_CP073981.1 Escherichia coli strain MB19 chromosome, complete genome
>NZ_CP063476.1 Escherichia coli strain EM10-18-28 chromosome, complete genome
>NZ_CP082087.1 Escherichia coli strain MS20649 chromosome, complete genome
>NZ_CP023371.1 Escherichia coli strain 1283 chromosome, complete genome
>NZ_CP020106.1 Escherichia coli strain 13E0780 chromosome, complete genome
>NZ_CP141901.1 Escherichia albertii strain 6S-65-1 chromosome, complete genome
>NZ_CP024855.1 Escherichia coli strain AR_0011 chromosome, complete genome
>NZ_OW849064.1 Escherichia coli isolate 131 chromosome main, complete sequence
>NZ_CP103710.1 Escherichia coli O25b:H4-ST131 chromosome, complete genome
>NZ_CP139039.1 Escherichia coli MP1 chromosome, complete genome
>NZ_CP041002.1 Escherichia coli strain FDAARGOS_772 chromosome, complete genome
>NZ_CP124367.1 Escherichia coli strain AVS0465 chromosome, complete genome
>NZ_CP054556.1 Escherichia coli strain LWY24 chromosome, complete genome
>NZ_CP107147.1 Escherichia coli strain R14 chromosome, complete genome
>NZ_LR134234.1 Escherichia coli strain NCTC8623 chromosome 1, complete sequence
>NZ_CP122319.1 Escherichia coli strain BW25113 chromosome, complete genome
>NZ_CP018103.1 Escherichia coli strain MRSN352231 chromosome, complete genome
>NZ_CP135706.1 Escherichia coli strain TUM1880 chromosome, complete genome
>NZ_LS483297.1 Escherichia coli strain NCTC11023 chromosome 1, complete sequence
>NC_011415.1 Escherichia coli SE11, complete sequence
>NZ_CP063214.1 Escherichia coli strain ERP001 chromosome, complete genome
>NZ_CP079747.1 Escherichia coli strain DL21 chromosome, complete genome
>NZ_CP011113.2 Escherichia coli strain RR1 chromosome, complete genome
>NZ_CP028734.1 Escherichia coli strain A42 chromosome, complete genome
>NZ_CP082077.1 Escherichia coli strain MS20657 chromosome, complete genome
>NZ_CP074354.1 Escherichia coli strain XJ5.2 chromosome, complete genome
>NZ_CP117720.1 Escherichia coli strain B1W1 chromosome, complete genome
>NZ_CP043217.1 Escherichia coli O80:H26 strain EC-107 chromosome, complete genome
>NZ_CP083638.1 Escherichia fergusonii strain FDAARGOS_1499 chromosome, complete genome
>NZ_AP023190.1 Escherichia coli strain TUM18530 chromosome, complete genome
>NZ_CP122634.1 Escherichia coli strain ETEC4085 chromosome, complete genome
>NZ_CP053045.1 Escherichia fergusonii strain HNCF11W chromosome, complete genome
>NZ_CP098219.1 Escherichia coli strain Z0117EC0013 chromosome, complete genome
>NZ_CP093919.1 Escherichia coli strain ST167 chromosome, complete genome
>NZ_CP117960.1 Escherichia coli strain B-3008 chromosome, complete genome
>NZ_CP116900.1 Escherichia coli strain XH2172 chromosome, complete genome
>NZ_AP025180.1 Escherichia coli strain JP538 chromosome, complete genome
>NZ_CP038295.1 Escherichia coli O55:H7 strain TB182A chromosome, complete genome
>NC_017633.1 Escherichia coli ETEC H10407, complete sequence
>NZ_CP027534.1 Escherichia coli strain AR_0081 chromosome, complete genome
>NZ_CP119404.1 Escherichia coli strain MRE162 substr. UK chromosome, complete genome
>NZ_CP082083.1 Escherichia coli strain MS20654 chromosome, complete genome
>NZ_CP066844.1 Escherichia coli strain Z30 chromosome, complete genome
>NZ_CP126942.1 Escherichia coli O1:K1:H7 strain APEC E18006 chromosome, complete genome
